p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
0.7,2000,0.4563571657,OK,BEST_FE,-0.575736535,OK,OPTIMAL,7,2
0.6,2000,0.5856040393,OK,BEST_FE,-0.608984501,OK,OPTIMAL,7,2
0.5,2000,0.8070848609,OK,BEST_FE,-0.738767862,OK,OPTIMAL,7,2
0.4,2000,1.359986479,OK,OPTIMAL,-0.87636559,OK,OPTIMAL,7,2
0.3,2000,1.7401879259,OK,BEST_FE,-1.109958145,OK,OPTIMAL,7,2
0.2,2000,1.871520247,OK,BEST_FE,-1.853467378,OK,BEST_FE,7,2
0.1,2000,2.3722457369,OK,BEST_FE,-2.33715641,OK,BEST_FE,7,2
1,2000,0.003109411,OK,BEST_FE,0.003109411,OK,OPTIMAL,8,2
0.9,2000,0.3074226259,OK,BEST_FE,-0.286617729,OK,BEST_FE,8,2
0.8,2000,0.4555705699,OK,BEST_FE,-0.431047518,OK,OPTIMAL,8,2
0.7,2000,0.5821561791,OK,OPTIMAL,-0.562680736,OK,OPTIMAL,8,2
0.6,2000,0.6216571118,OK,OPTIMAL,-0.555953,OK,BEST_FE,8,2
0.5,2000,0.8559648514,OK,BEST_FE,-0.763843145,OK,BEST_FE,8,2
0.4,2000,0.9901385306,OK,OPTIMAL,-0.914111241,OK,BEST_FE,8,2
0.3,2000,1.9205341225,OK,BEST_FE,-1.588645869,OK,BEST_FE,8,2
0.2,2000,2.0478805987,OK,BEST_FE,-1.71388372,OK,BEST_FE,8,2
0.1,2000,2.6230161557,OK,BEST_FE,-2.153471737,OK,BEST_FE,8,2
1,2000,-0.025113898,OK,OPTIMAL,-0.025113898,OK,BEST_FE,9,2
0.9,2000,0.2667649292,OK,BEST_FE,-0.327461813,OK,BEST_FE,9,2
0.8,2000,0.4079081763,OK,OPTIMAL,-0.467883975,OK,OPTIMAL,9,2
0.7,2000,0.448219338,OK,BEST_FE,-0.591438669,OK,OPTIMAL,9,2
0.6,2000,0.5701271542,OK,BEST_FE,-0.708950178,OK,OPTIMAL,9,2
